query_id,query_text,doc_id,relevance_score,query_category
Q_052,Enterprise search query 52,DOC_025728,2,Technical
Q_053,Enterprise search query 53,DOC_012113,1,Legal
Q_054,Enterprise search query 54,DOC_037122,2,Financial
Q_055,Enterprise search query 55,DOC_040773,3,Business
Q_056,Enterprise search query 56,DOC_042368,0,Legal
Q_057,Enterprise search query 57,DOC_010946,3,Business
Q_058,Enterprise search query 58,DOC_001575,2,Business
Q_059,Enterprise search query 59,DOC_040425,1,Technical
Q_060,Enterprise search query 60,DOC_049859,3,Financial
Q_061,Enterprise search query 61,DOC_008384,3,Technical
Q_062,Enterprise search query 62,DOC_043471,0,Financial
Q_063,Enterprise search query 63,DOC_002863,3,Legal
Q_064,Enterprise search query 64,DOC_028348,0,Technical
Q_065,Enterprise search query 65,DOC_044100,2,Legal
Q_066,Enterprise search query 66,DOC_026071,0,Financial
Q_067,Enterprise search query 67,DOC_007429,3,Business
Q_068,Enterprise search query 68,DOC_040006,2,Technical
Q_069,Enterprise search query 69,DOC_014597,0,Technical
Q_070,Enterprise search query 70,DOC_009255,2,Technical
Q_071,Enterprise search query 71,DOC_009565,3,Financial
Q_072,Enterprise search query 72,DOC_002179,3,Legal
Q_073,Enterprise search query 73,DOC_049677,2,Technical
Q_074,Enterprise search query 74,DOC_007606,2,Legal
Q_075,Enterprise search query 75,DOC_048078,2,Technical
Q_076,Enterprise search query 76,DOC_047492,0,Technical
Q_077,Enterprise search query 77,DOC_030749,0,Financial
Q_078,Enterprise search query 78,DOC_032206,2,Technical
Q_079,Enterprise search query 79,DOC_036484,1,Legal
Q_080,Enterprise search query 80,DOC_004472,2,Legal
Q_081,Enterprise search query 81,DOC_036227,3,Legal
Q_082,Enterprise search query 82,DOC_014431,0,Legal
Q_083,Enterprise search query 83,DOC_042039,0,Business
Q_084,Enterprise search query 84,DOC_018222,1,Legal
Q_085,Enterprise search query 85,DOC_011422,0,Business
Q_086,Enterprise search query 86,DOC_017210,2,Business
Q_087,Enterprise search query 87,DOC_029848,1,Legal
Q_088,Enterprise search query 88,DOC_020918,0,Business
Q_089,Enterprise search query 89,DOC_021369,2,Legal
Q_090,Enterprise search query 90,DOC_037244,2,Technical
Q_091,Enterprise search query 91,DOC_011436,0,Technical
Q_092,Enterprise search query 92,DOC_035432,3,Business
Q_093,Enterprise search query 93,DOC_036240,2,Technical
Q_094,Enterprise search query 94,DOC_020659,2,Technical
Q_095,Enterprise search query 95,DOC_048058,0,Financial
Q_096,Enterprise search query 96,DOC_045416,0,Technical
Q_097,Enterprise search query 97,DOC_028955,1,Business
Q_098,Enterprise search query 98,DOC_012525,0,Financial
Q_099,Enterprise search query 99,DOC_022331,0,Technical
Q_100,Enterprise search query 100,DOC_043783,2,Financial
Q_101,Enterprise search query 101,DOC_047739,0,Technical
Q_102,Enterprise search query 102,DOC_011156,2,Financial
Q_103,Enterprise search query 103,DOC_019253,2,Business
Q_104,Enterprise search query 104,DOC_003589,0,Legal
Q_105,Enterprise search query 105,DOC_047896,0,Legal
Q_106,Enterprise search query 106,DOC_035998,2,Financial
Q_107,Enterprise search query 107,DOC_009748,1,Financial
Q_108,Enterprise search query 108,DOC_012308,3,Business
Q_109,Enterprise search query 109,DOC_008526,2,Business
Q_110,Enterprise search query 110,DOC_021004,3,Financial
Q_111,Enterprise search query 111,DOC_009321,3,Technical
Q_112,Enterprise search query 112,DOC_001467,2,Financial
Q_113,Enterprise search query 113,DOC_021218,0,Financial
Q_114,Enterprise search query 114,DOC_037656,0,Legal
Q_115,Enterprise search query 115,DOC_034507,0,Technical
Q_116,Enterprise search query 116,DOC_029941,2,Technical
Q_117,Enterprise search query 117,DOC_011653,2,Business
Q_118,Enterprise search query 118,DOC_036200,0,Technical
Q_119,Enterprise search query 119,DOC_010811,2,Business
Q_120,Enterprise search query 120,DOC_011371,2,Business
Q_121,Enterprise search query 121,DOC_020497,3,Legal
Q_122,Enterprise search query 122,DOC_017162,3,Financial
Q_123,Enterprise search query 123,DOC_015656,2,Legal
Q_124,Enterprise search query 124,DOC_045401,3,Financial
Q_125,Enterprise search query 125,DOC_024874,1,Legal
Q_126,Enterprise search query 126,DOC_003960,0,Technical
Q_127,Enterprise search query 127,DOC_008012,2,Business
Q_128,Enterprise search query 128,DOC_002501,0,Business
Q_129,Enterprise search query 129,DOC_040223,0,Business
Q_130,Enterprise search query 130,DOC_029809,2,Technical
Q_131,Enterprise search query 131,DOC_016428,0,Legal
Q_132,Enterprise search query 132,DOC_002207,2,Legal
Q_133,Enterprise search query 133,DOC_039832,2,Financial
Q_134,Enterprise search query 134,DOC_012848,2,Legal
Q_135,Enterprise search query 135,DOC_039726,2,Financial
Q_136,Enterprise search query 136,DOC_045197,1,Technical
Q_137,Enterprise search query 137,DOC_049409,1,Legal
Q_138,Enterprise search query 138,DOC_038023,2,Technical
Q_139,Enterprise search query 139,DOC_023805,2,Financial
Q_140,Enterprise search query 140,DOC_027474,2,Legal
Q_141,Enterprise search query 141,DOC_024575,1,Technical
Q_142,Enterprise search query 142,DOC_013771,2,Financial
Q_143,Enterprise search query 143,DOC_005008,2,Technical
Q_144,Enterprise search query 144,DOC_032688,2,Technical
Q_145,Enterprise search query 145,DOC_030539,0,Technical
Q_146,Enterprise search query 146,DOC_022834,2,Technical
Q_147,Enterprise search query 147,DOC_037914,3,Legal
Q_148,Enterprise search query 148,DOC_019291,2,Business
Q_149,Enterprise search query 149,DOC_018220,2,Business
Q_150,Enterprise search query 150,DOC_024724,1,Legal
Q_151,Enterprise search query 151,DOC_019338,3,Legal
Q_152,Enterprise search query 152,DOC_040468,2,Technical
Q_153,Enterprise search query 153,DOC_027317,1,Legal
Q_154,Enterprise search query 154,DOC_009190,1,Legal
Q_155,Enterprise search query 155,DOC_001758,3,Legal
Q_156,Enterprise search query 156,DOC_023156,3,Business
Q_157,Enterprise search query 157,DOC_017142,2,Legal
Q_158,Enterprise search query 158,DOC_019176,0,Financial
Q_159,Enterprise search query 159,DOC_027206,2,Financial
Q_160,Enterprise search query 160,DOC_039450,3,Financial
Q_161,Enterprise search query 161,DOC_048076,3,Technical
Q_162,Enterprise search query 162,DOC_005062,1,Technical
Q_163,Enterprise search query 163,DOC_036072,1,Legal
Q_164,Enterprise search query 164,DOC_013058,2,Financial
Q_165,Enterprise search query 165,DOC_039544,1,Business
Q_166,Enterprise search query 166,DOC_004836,3,Legal
Q_167,Enterprise search query 167,DOC_046811,2,Technical
Q_168,Enterprise search query 168,DOC_042402,1,Business
Q_169,Enterprise search query 169,DOC_010883,2,Business
Q_170,Enterprise search query 170,DOC_022163,0,Business
Q_171,Enterprise search query 171,DOC_029426,2,Business
Q_172,Enterprise search query 172,DOC_014292,2,Financial
Q_173,Enterprise search query 173,DOC_041659,0,Business
Q_174,Enterprise search query 174,DOC_022820,0,Business
Q_175,Enterprise search query 175,DOC_040181,0,Financial
Q_176,Enterprise search query 176,DOC_023531,3,Technical
Q_177,Enterprise search query 177,DOC_038086,2,Technical
Q_178,Enterprise search query 178,DOC_004937,0,Technical
Q_179,Enterprise search query 179,DOC_034631,3,Technical
Q_180,Enterprise search query 180,DOC_016076,0,Technical
Q_181,Enterprise search query 181,DOC_029307,2,Legal
Q_182,Enterprise search query 182,DOC_046213,0,Legal
Q_183,Enterprise search query 183,DOC_031204,0,Legal
Q_184,Enterprise search query 184,DOC_024208,0,Technical
Q_185,Enterprise search query 185,DOC_031985,2,Technical
Q_186,Enterprise search query 186,DOC_016597,1,Financial
Q_187,Enterprise search query 187,DOC_021902,1,Business
Q_188,Enterprise search query 188,DOC_012895,2,Legal
Q_189,Enterprise search query 189,DOC_035930,1,Technical
Q_190,Enterprise search query 190,DOC_005854,2,Technical
Q_191,Enterprise search query 191,DOC_042519,0,Legal
Q_192,Enterprise search query 192,DOC_042916,0,Technical
Q_193,Enterprise search query 193,DOC_019325,1,Financial
Q_194,Enterprise search query 194,DOC_019900,2,Business
Q_195,Enterprise search query 195,DOC_025620,3,Business
Q_196,Enterprise search query 196,DOC_001709,2,Business
Q_197,Enterprise search query 197,DOC_022179,0,Legal
Q_198,Enterprise search query 198,DOC_011578,2,Technical
Q_199,Enterprise search query 199,DOC_019951,2,Business
Q_200,Enterprise search query 200,DOC_005337,1,Financial
Q_201,Enterprise search query 201,DOC_009200,2,Financial
Q_202,Enterprise search query 202,DOC_017166,2,Financial
Q_203,Enterprise search query 203,DOC_037403,1,Legal
Q_204,Enterprise search query 204,DOC_047327,0,Business
Q_205,Enterprise search query 205,DOC_011572,3,Legal
Q_206,Enterprise search query 206,DOC_042215,2,Technical
Q_207,Enterprise search query 207,DOC_016061,2,Financial
Q_208,Enterprise search query 208,DOC_010465,1,Financial
Q_209,Enterprise search query 209,DOC_020790,2,Financial
Q_210,Enterprise search query 210,DOC_046551,0,Financial
Q_211,Enterprise search query 211,DOC_045287,0,Business
Q_212,Enterprise search query 212,DOC_023510,0,Financial
Q_213,Enterprise search query 213,DOC_037092,3,Business
Q_214,Enterprise search query 214,DOC_013392,3,Technical
Q_215,Enterprise search query 215,DOC_047191,1,Technical
Q_216,Enterprise search query 216,DOC_013100,0,Financial
Q_217,Enterprise search query 217,DOC_015783,0,Business
Q_218,Enterprise search query 218,DOC_020257,3,Business
Q_219,Enterprise search query 219,DOC_030529,0,Business
Q_220,Enterprise search query 220,DOC_011932,2,Business
Q_221,Enterprise search query 221,DOC_029836,3,Technical
Q_222,Enterprise search query 222,DOC_046969,1,Financial
Q_223,Enterprise search query 223,DOC_013773,3,Business
Q_224,Enterprise search query 224,DOC_036229,3,Financial
Q_225,Enterprise search query 225,DOC_014660,3,Legal
Q_226,Enterprise search query 226,DOC_000133,0,Legal
Q_227,Enterprise search query 227,DOC_031014,2,Legal
Q_228,Enterprise search query 228,DOC_007476,1,Technical
Q_229,Enterprise search query 229,DOC_034498,1,Legal
Q_230,Enterprise search query 230,DOC_040026,2,Business
Q_231,Enterprise search query 231,DOC_042132,0,Legal
Q_232,Enterprise search query 232,DOC_035015,2,Business
Q_233,Enterprise search query 233,DOC_009056,3,Technical
Q_234,Enterprise search query 234,DOC_039708,0,Financial
Q_235,Enterprise search query 235,DOC_049569,3,Financial
Q_236,Enterprise search query 236,DOC_035329,1,Technical
Q_237,Enterprise search query 237,DOC_046411,0,Business
Q_238,Enterprise search query 238,DOC_046967,3,Business
Q_239,Enterprise search query 239,DOC_023618,1,Technical
Q_240,Enterprise search query 240,DOC_037525,0,Business
Q_241,Enterprise search query 241,DOC_018422,1,Legal
Q_242,Enterprise search query 242,DOC_019723,0,Financial
Q_243,Enterprise search query 243,DOC_035558,1,Business
Q_244,Enterprise search query 244,DOC_023138,0,Legal
Q_245,Enterprise search query 245,DOC_022584,2,Technical
Q_246,Enterprise search query 246,DOC_017973,2,Technical
Q_247,Enterprise search query 247,DOC_029869,3,Business
Q_248,Enterprise search query 248,DOC_028587,1,Legal
Q_249,Enterprise search query 249,DOC_012297,3,Technical
Q_250,Enterprise search query 250,DOC_043848,1,Business
Q_251,Enterprise search query 251,DOC_018257,2,Technical
Q_252,Enterprise search query 252,DOC_039792,2,Business
Q_253,Enterprise search query 253,DOC_008193,0,Technical
Q_254,Enterprise search query 254,DOC_047716,2,Technical
Q_255,Enterprise search query 255,DOC_040839,2,Legal
Q_256,Enterprise search query 256,DOC_037012,2,Legal
Q_257,Enterprise search query 257,DOC_038548,0,Financial
Q_258,Enterprise search query 258,DOC_001655,3,Technical
Q_259,Enterprise search query 259,DOC_030294,3,Technical
Q_260,Enterprise search query 260,DOC_037865,0,Financial
Q_261,Enterprise search query 261,DOC_015255,1,Financial
Q_262,Enterprise search query 262,DOC_048455,2,Technical
Q_263,Enterprise search query 263,DOC_042163,1,Financial
Q_264,Enterprise search query 264,DOC_035269,0,Financial
Q_265,Enterprise search query 265,DOC_031086,2,Financial
Q_266,Enterprise search query 266,DOC_018891,2,Financial
Q_267,Enterprise search query 267,DOC_044460,1,Technical
Q_268,Enterprise search query 268,DOC_033317,1,Business
Q_269,Enterprise search query 269,DOC_022123,3,Business
Q_270,Enterprise search query 270,DOC_004690,2,Financial
Q_271,Enterprise search query 271,DOC_045924,1,Legal
Q_272,Enterprise search query 272,DOC_015281,1,Financial
Q_273,Enterprise search query 273,DOC_015236,1,Technical
Q_274,Enterprise search query 274,DOC_043497,1,Technical
Q_275,Enterprise search query 275,DOC_021312,3,Business
Q_276,Enterprise search query 276,DOC_005298,0,Legal
Q_277,Enterprise search query 277,DOC_022486,0,Legal
Q_278,Enterprise search query 278,DOC_013207,2,Legal
Q_279,Enterprise search query 279,DOC_040334,0,Technical
Q_280,Enterprise search query 280,DOC_015894,2,Business
Q_281,Enterprise search query 281,DOC_034777,0,Legal
Q_282,Enterprise search query 282,DOC_008922,3,Legal
Q_283,Enterprise search query 283,DOC_043340,2,Financial
Q_284,Enterprise search query 284,DOC_002703,1,Business
Q_285,Enterprise search query 285,DOC_002927,0,Technical
Q_286,Enterprise search query 286,DOC_013566,1,Technical
Q_287,Enterprise search query 287,DOC_027635,3,Technical
Q_288,Enterprise search query 288,DOC_048185,1,Technical
Q_289,Enterprise search query 289,DOC_037735,2,Technical
Q_290,Enterprise search query 290,DOC_000715,2,Financial
Q_291,Enterprise search query 291,DOC_021532,2,Business
Q_292,Enterprise search query 292,DOC_005897,2,Business
Q_293,Enterprise search query 293,DOC_033068,2,Technical
Q_294,Enterprise search query 294,DOC_020839,0,Technical
Q_295,Enterprise search query 295,DOC_015402,2,Business
Q_296,Enterprise search query 296,DOC_018039,3,Financial
Q_297,Enterprise search query 297,DOC_021956,0,Business
Q_298,Enterprise search query 298,DOC_047313,3,Legal
Q_299,Enterprise search query 299,DOC_028639,0,Business
Q_300,Enterprise search query 300,DOC_005611,0,Business
Q_301,Enterprise search query 301,DOC_042317,1,Financial
Q_302,Enterprise search query 302,DOC_013929,2,Business
Q_303,Enterprise search query 303,DOC_048376,3,Financial
Q_304,Enterprise search query 304,DOC_000520,3,Business
Q_305,Enterprise search query 305,DOC_032290,2,Legal
Q_306,Enterprise search query 306,DOC_029275,2,Legal
Q_307,Enterprise search query 307,DOC_018358,0,Financial
Q_308,Enterprise search query 308,DOC_030096,0,Financial
Q_309,Enterprise search query 309,DOC_033542,3,Business
Q_310,Enterprise search query 310,DOC_024990,0,Business
Q_311,Enterprise search query 311,DOC_018615,3,Technical
Q_312,Enterprise search query 312,DOC_026561,0,Business
Q_313,Enterprise search query 313,DOC_029393,3,Business
Q_314,Enterprise search query 314,DOC_028343,2,Business
Q_315,Enterprise search query 315,DOC_020097,3,Business
Q_316,Enterprise search query 316,DOC_001854,0,Technical
Q_317,Enterprise search query 317,DOC_028045,0,Technical
Q_318,Enterprise search query 318,DOC_024237,2,Financial
Q_319,Enterprise search query 319,DOC_033859,0,Legal
Q_320,Enterprise search query 320,DOC_021198,0,Legal
Q_321,Enterprise search query 321,DOC_001361,3,Financial
Q_322,Enterprise search query 322,DOC_023648,0,Financial
Q_323,Enterprise search query 323,DOC_040078,2,Business
Q_324,Enterprise search query 324,DOC_029910,2,Legal
Q_325,Enterprise search query 325,DOC_013366,0,Business
Q_326,Enterprise search query 326,DOC_021101,1,Technical
Q_327,Enterprise search query 327,DOC_030945,3,Business
Q_328,Enterprise search query 328,DOC_008860,2,Business
Q_329,Enterprise search query 329,DOC_041343,3,Financial
Q_330,Enterprise search query 330,DOC_013370,0,Legal
Q_331,Enterprise search query 331,DOC_036590,0,Business
Q_332,Enterprise search query 332,DOC_045810,0,Financial
Q_333,Enterprise search query 333,DOC_027657,1,Business
Q_334,Enterprise search query 334,DOC_010879,2,Legal
Q_335,Enterprise search query 335,DOC_010831,1,Financial
Q_336,Enterprise search query 336,DOC_002021,1,Legal
Q_337,Enterprise search query 337,DOC_043458,0,Technical
Q_338,Enterprise search query 338,DOC_005166,3,Financial
Q_339,Enterprise search query 339,DOC_032775,1,Financial
Q_340,Enterprise search query 340,DOC_010966,1,Business
Q_341,Enterprise search query 341,DOC_023243,1,Legal
Q_342,Enterprise search query 342,DOC_048833,0,Technical
Q_343,Enterprise search query 343,DOC_013429,2,Technical
Q_344,Enterprise search query 344,DOC_004927,1,Technical
Q_345,Enterprise search query 345,DOC_036966,0,Technical
Q_346,Enterprise search query 346,DOC_042067,0,Technical
Q_347,Enterprise search query 347,DOC_048525,3,Legal
Q_348,Enterprise search query 348,DOC_009199,2,Legal
Q_349,Enterprise search query 349,DOC_025797,1,Legal
Q_350,Enterprise search query 350,DOC_048735,1,Financial
Q_351,Enterprise search query 351,DOC_011443,3,Financial
Q_352,Enterprise search query 352,DOC_005036,2,Legal
Q_353,Enterprise search query 353,DOC_047286,1,Legal
Q_354,Enterprise search query 354,DOC_037708,3,Legal
Q_355,Enterprise search query 355,DOC_002363,3,Business
Q_356,Enterprise search query 356,DOC_042944,2,Legal
Q_357,Enterprise search query 357,DOC_045514,3,Technical
Q_358,Enterprise search query 358,DOC_007503,0,Business
Q_359,Enterprise search query 359,DOC_009810,1,Business
Q_360,Enterprise search query 360,DOC_048366,2,Legal
Q_361,Enterprise search query 361,DOC_039523,2,Technical
Q_362,Enterprise search query 362,DOC_038405,3,Legal
Q_363,Enterprise search query 363,DOC_011504,3,Legal
Q_364,Enterprise search query 364,DOC_012070,0,Business
Q_365,Enterprise search query 365,DOC_013404,2,Legal
Q_366,Enterprise search query 366,DOC_006660,3,Business
Q_367,Enterprise search query 367,DOC_031830,2,Legal
Q_368,Enterprise search query 368,DOC_026794,2,Financial
Q_369,Enterprise search query 369,DOC_003511,0,Financial
Q_370,Enterprise search query 370,DOC_004007,3,Technical
Q_371,Enterprise search query 371,DOC_041012,2,Business
Q_372,Enterprise search query 372,DOC_032529,2,Financial
Q_373,Enterprise search query 373,DOC_022552,2,Legal
Q_374,Enterprise search query 374,DOC_012720,0,Financial
Q_375,Enterprise search query 375,DOC_040846,2,Technical
Q_376,Enterprise search query 376,DOC_042537,0,Legal
Q_377,Enterprise search query 377,DOC_048789,0,Technical
Q_378,Enterprise search query 378,DOC_019266,0,Business
Q_379,Enterprise search query 379,DOC_043593,3,Financial
Q_380,Enterprise search query 380,DOC_013418,1,Business
Q_381,Enterprise search query 381,DOC_040894,2,Business
Q_382,Enterprise search query 382,DOC_009927,2,Technical
Q_383,Enterprise search query 383,DOC_027989,0,Legal
Q_384,Enterprise search query 384,DOC_037645,2,Business
Q_385,Enterprise search query 385,DOC_030199,1,Technical
Q_386,Enterprise search query 386,DOC_046004,1,Technical
Q_387,Enterprise search query 387,DOC_016872,2,Financial
Q_388,Enterprise search query 388,DOC_011144,1,Financial
Q_389,Enterprise search query 389,DOC_049215,2,Business
Q_390,Enterprise search query 390,DOC_024057,2,Business
Q_391,Enterprise search query 391,DOC_002094,2,Business
Q_392,Enterprise search query 392,DOC_033023,2,Technical
Q_393,Enterprise search query 393,DOC_032399,2,Legal
Q_394,Enterprise search query 394,DOC_011827,0,Business
Q_395,Enterprise search query 395,DOC_044839,3,Financial
Q_396,Enterprise search query 396,DOC_043492,3,Technical
Q_397,Enterprise search query 397,DOC_014271,1,Financial
Q_398,Enterprise search query 398,DOC_023676,1,Legal
Q_399,Enterprise search query 399,DOC_046337,0,Financial
Q_400,Enterprise search query 400,DOC_003677,1,Financial
Q_401,Enterprise search query 401,DOC_010301,3,Legal
Q_402,Enterprise search query 402,DOC_011710,2,Legal
Q_403,Enterprise search query 403,DOC_019905,2,Financial
Q_404,Enterprise search query 404,DOC_041842,1,Business
Q_405,Enterprise search query 405,DOC_047523,2,Legal
Q_406,Enterprise search query 406,DOC_034040,2,Technical
Q_407,Enterprise search query 407,DOC_007183,0,Business
Q_408,Enterprise search query 408,DOC_002255,2,Business
Q_409,Enterprise search query 409,DOC_025979,0,Financial
Q_410,Enterprise search query 410,DOC_041619,0,Technical
Q_411,Enterprise search query 411,DOC_030024,2,Financial
Q_412,Enterprise search query 412,DOC_047243,2,Financial
Q_413,Enterprise search query 413,DOC_042907,2,Business
Q_414,Enterprise search query 414,DOC_004088,2,Technical
Q_415,Enterprise search query 415,DOC_047845,1,Technical
Q_416,Enterprise search query 416,DOC_048230,1,Business
Q_417,Enterprise search query 417,DOC_028462,0,Technical
Q_418,Enterprise search query 418,DOC_029269,2,Legal
Q_419,Enterprise search query 419,DOC_021265,2,Financial
Q_420,Enterprise search query 420,DOC_023779,0,Technical
Q_421,Enterprise search query 421,DOC_001050,2,Technical
Q_422,Enterprise search query 422,DOC_000134,0,Technical
Q_423,Enterprise search query 423,DOC_001164,3,Legal
Q_424,Enterprise search query 424,DOC_019482,0,Technical
Q_425,Enterprise search query 425,DOC_024349,1,Business
Q_426,Enterprise search query 426,DOC_036813,0,Business
Q_427,Enterprise search query 427,DOC_006591,2,Financial
Q_428,Enterprise search query 428,DOC_006648,3,Legal
Q_429,Enterprise search query 429,DOC_007843,2,Legal
Q_430,Enterprise search query 430,DOC_027819,2,Financial
Q_431,Enterprise search query 431,DOC_005777,0,Technical
Q_432,Enterprise search query 432,DOC_003464,1,Business
Q_433,Enterprise search query 433,DOC_031331,2,Technical
Q_434,Enterprise search query 434,DOC_029555,0,Financial
Q_435,Enterprise search query 435,DOC_038784,1,Business
Q_436,Enterprise search query 436,DOC_042284,3,Financial
Q_437,Enterprise search query 437,DOC_003374,3,Technical
Q_438,Enterprise search query 438,DOC_036662,0,Legal
Q_439,Enterprise search query 439,DOC_042972,2,Business
Q_440,Enterprise search query 440,DOC_042772,1,Legal
Q_441,Enterprise search query 441,DOC_047827,0,Legal
Q_442,Enterprise search query 442,DOC_030861,0,Business
Q_443,Enterprise search query 443,DOC_007120,3,Technical
Q_444,Enterprise search query 444,DOC_010514,0,Business
Q_445,Enterprise search query 445,DOC_010247,3,Business
Q_446,Enterprise search query 446,DOC_032824,1,Legal
Q_447,Enterprise search query 447,DOC_014669,0,Business
Q_448,Enterprise search query 448,DOC_042197,2,Technical
Q_449,Enterprise search query 449,DOC_014052,1,Technical
Q_450,Enterprise search query 450,DOC_044094,3,Financial
Q_451,Enterprise search query 451,DOC_012937,0,Technical
Q_452,Enterprise search query 452,DOC_010293,2,Financial
Q_453,Enterprise search query 453,DOC_005019,2,Legal
Q_454,Enterprise search query 454,DOC_006541,0,Technical
Q_455,Enterprise search query 455,DOC_029970,2,Legal
Q_456,Enterprise search query 456,DOC_016621,2,Legal
Q_457,Enterprise search query 457,DOC_034053,1,Business
Q_458,Enterprise search query 458,DOC_033895,0,Business
Q_459,Enterprise search query 459,DOC_005338,2,Business
Q_460,Enterprise search query 460,DOC_017373,0,Business
Q_461,Enterprise search query 461,DOC_002510,2,Technical
Q_462,Enterprise search query 462,DOC_031817,1,Technical
Q_463,Enterprise search query 463,DOC_010292,2,Technical
Q_464,Enterprise search query 464,DOC_003246,3,Financial
Q_465,Enterprise search query 465,DOC_020680,3,Technical
Q_466,Enterprise search query 466,DOC_030772,2,Technical
Q_467,Enterprise search query 467,DOC_039502,0,Financial
Q_468,Enterprise search query 468,DOC_001252,3,Financial
Q_469,Enterprise search query 469,DOC_048002,0,Business
Q_470,Enterprise search query 470,DOC_003309,3,Technical
Q_471,Enterprise search query 471,DOC_007504,1,Business
Q_472,Enterprise search query 472,DOC_036897,2,Financial
Q_473,Enterprise search query 473,DOC_048211,3,Business
Q_474,Enterprise search query 474,DOC_005736,1,Legal
Q_475,Enterprise search query 475,DOC_015660,3,Legal
Q_476,Enterprise search query 476,DOC_034900,1,Legal
Q_477,Enterprise search query 477,DOC_040953,3,Financial
Q_478,Enterprise search query 478,DOC_043403,0,Business
Q_479,Enterprise search query 479,DOC_014597,3,Financial
Q_480,Enterprise search query 480,DOC_040253,0,Technical
Q_481,Enterprise search query 481,DOC_025839,1,Technical
Q_482,Enterprise search query 482,DOC_011055,0,Financial
Q_483,Enterprise search query 483,DOC_029685,1,Financial
Q_484,Enterprise search query 484,DOC_010985,1,Financial
Q_485,Enterprise search query 485,DOC_000898,2,Legal
Q_486,Enterprise search query 486,DOC_040143,3,Business
Q_487,Enterprise search query 487,DOC_036623,0,Financial
Q_488,Enterprise search query 488,DOC_001771,2,Financial
Q_489,Enterprise search query 489,DOC_021597,2,Business
Q_490,Enterprise search query 490,DOC_022436,3,Business
Q_491,Enterprise search query 491,DOC_021506,0,Legal
Q_492,Enterprise search query 492,DOC_004933,0,Legal
Q_493,Enterprise search query 493,DOC_000573,0,Legal
Q_494,Enterprise search query 494,DOC_022063,1,Business
Q_495,Enterprise search query 495,DOC_013487,1,Financial
Q_496,Enterprise search query 496,DOC_048912,0,Legal
Q_497,Enterprise search query 497,DOC_044747,0,Business
Q_498,Enterprise search query 498,DOC_004627,1,Technical
Q_499,Enterprise search query 499,DOC_039327,3,Business
Q_500,Enterprise search query 500,DOC_038249,0,Technical
